Abr. Réf.;Canton;Depuis;"Chef-lieu";Population (31 décembre 2022);Superficie[km2];Densité[hab./km2];Nombre de communes;Langues officielles;Localisation;
ZH;"Zurich (Zürich)";1er mai 1351;"Zurich";1579967;1729;914;160;"allemand";
BE;"Berne (Bern)";6 mars 1353;"Berne";1051437;5959,44;176;337;"allemand, français";
LU;"Lucerne (Luzern)";7 novembre 1332;"Lucerne";0424851;1493,44;284;80;"allemand";
UR;"Uri";août 1291;"Altdorf";0037317;1076,57;35;19;"allemand";
SZ;"Schwytz (Schwyz)";août 1291;"Schwytz";0164920;0906,92;182;30;"allemand";
OW;"Obwald (Obwalden)";août 1291;"Sarnen";0038700;0490,59;79;7;"allemand";
NW;"Nidwald (Nidwalden)";août 1291;"Stans";0044420;0275,9;161;11;"allemand";
GL;"Glaris (Glarus)";4 juin 1352;"Glaris";0041471;0685,3;61;3;"allemand";
ZG;"Zoug (Zug)";27 juin 1352;"Zoug";0131164;0238,69;550;11;"allemand";
FR;"Fribourg (Freiburg)";22 décembre 1481;"Fribourg";0334465;1670,7;200;126;"français, allemand";
SO;"Soleure (Solothurn)";22 décembre 1481;"Soleure";0282408;0790,49;357;107;"allemand";
BS;"Bâle-Ville (Basel-Stadt)";13 juillet 1501;"Bâle";0196786;0037;5319;3;"allemand";
BL;"Bâle-Campagne (Basel-Landschaft)";13 juillet 1501;"Liestal";0294417;0517,56;569;86;"allemand";
SH;"Schaffhouse (Schaffhausen)";19 août 1501;"Schaffhouse";0085214;0298,42;286;26;"allemand";
AR;"Appenzell Rhodes-Extérieures (Appenzell Ausserrhoden)";17 décembre 1513;"Herisau (de facto)";0055759;0242,86;230;20;"allemand";
AI;"Appenzell Rhodes-Intérieures (Appenzell Innerrhoden)";17 décembre 1513;"Appenzell";0016416;0172,52;95;5;"allemand";
SG;"Saint-Gall (St. Gallen)";19 février 1803;"Saint-Gall";0525967;2025,54;260;75;"allemand";
GR;"Grisons (Graubünden, Grischun, Grigioni)";19 février 1803;"Coire";0202538;7105,44;29;101;"allemand, romanche, italien";
AG;"Argovie (Aargau)";19 février 1803;"Aarau";0711232;1403,73;507;198;"allemand";
TG;"Thurgovie (Thurgau)";19 février 1803;"Frauenfeld";0289650;0991,02;292;80;"allemand";
TI;"Tessin (Ticino)";19 février 1803;"Bellinzone";0354023;2812,2;126;106;"italien";
VD;"Vaud";14 avril 1803;"Lausanne";0830431;3212,03;259;300;"français";
VS;"Valais (Wallis)";4 août 1815;"Sion";0357282;5224,25;68;122;"français,allemand";
NE;"Neuchâtel";19 mai 1815;"Neuchâtel";0176571;0802,93;220;27;"français";
GE;"Genève";19 mai 1815;"Genève";0514114;0282,48;1820;45;"français";
JU;"Jura";1er janvier 1979;"Delémont";0073865;0838,55;88;51;"français";

